ID,YEAR,DAY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,LOCATION_NAME,latitude,longitude,REGION_CODE,MAXIMUM_WATER_HEIGHT
1,-2000,,,,SYRIA,SYRIAN COASTS,35.683,35.8,50,
3,-1610,,,,GREECE,THERA ISLAND (SANTORINI),36.4,25.4,50,90
4,-1365,,,,SYRIA,SYRIAN COASTS,35.683,35.8,50,
5,-1300,,,6,TURKEY,IONIAN COASTS, TROAD,39.96,26.24,50
6,-760,,,,ISRAEL,ISRAEL AND LEBANON COASTS,,,50,
7,-590,,,,LEBANON,LEBANON COASTS,33.27,35.22,50,
8,-525,,,,LEBANON,LEBANON COASTS,33.56,35.37,50,
3469,-480,29,,,GREECE,SARONIC GULF,37.9,23.5,50,
9,-479,,,7,GREECE,NORTH AEGEAN,39.7,23.3,50,
10,-426,,,7.1,GREECE,CORINTHOS-PATRAS GULF,38.9,22.7,50,
11,-373,,,7.3,GREECE,CORINTHOS-PATRAS GULF,38.25,22.25,50,
12,-330,,,7,GREECE,E. SPORADES ISLANDS, AEGEAN ISLANDS,40,25,50
5282,-326,,,,INDIA,KUTCH,23,71,60,
3092,-227,,,7.2,GREECE,DODECANESE ISLANDS,36.3,28.3,50,
3471,-226,,,,GREECE,SOUTH EVIOKOS GULF,38.6,23.3,50,
3472,-223,,,,GREECE,MALIAKOS GULF,38.809,22.784,50,
5382,-218,,,,SPAIN,CADIZ,36.2,-7.17,73,
4281,-210,,,,PORTUGAL,GULF OF CADIZ,36,-10.5,73,
3473,-198,,,,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,50,
5481,-150,,,,SRI LANKA,SRI LANKA,,,60,
15,-138,,,,ISRAEL,ISRAEL AND LEBANON COASTS,,,50,
4263,-60,,,6.7,PORTUGAL,CABO SAN VICENTE,36,-10,73,
3714,-58,,,6.6,ALBANIA,ALBANIA,41.3,19.5,50,
3728,-50,,,5.5,GEORGIA,BLACK SEA,43,41,40,
3794,-50,,,,BULGARIA,BLACK SEA,43.5,28.5,40,
22,-47,,,,CHINA,LAIZHOU BAY, BOHAI SEA,37.5,119.5,84
19,-23,,,,EGYPT,ALEXANDRIA,,,50,
21,46,,,6.2,GREECE,THERA ISLAND (SANTORINI),36.404,25.396,50,
23,62,,,6.9,GREECE,CRETE,35.2,25.1,50,
26,76,20,,6.3,CYPRUS,LEVANTIAN SEA,34.8,32,50,
3093,79,24,,,ITALY,BAY OF NAPLES,40.821,14.426,50,
4396,115,13,,7.5,TURKEY,ANTAKYA (ANTIOCH),36.1,36.1,50,
3096,120,,,7.2,TURKEY,MARMARA SEA,40.77,29.92,50,
3583,123,,,6.3,SOUTH KOREA,SEA OF JAPAN,35.8,129.2,84,
27,142,,,7,GREECE,DODECANESE ISLANDS,36.7,28,50,
29,173,28,,,CHINA,LAIZHOU BAY, BOHAI SEA,37.5,120,84
3097,177,,,,ITALY,ISLAND OF SICILY,38,15,50,
3427,258,,,,ITALY,TYRRHENIAN SEA,41.9,12.45,50,
31,262,,,,TURKEY,SOUTH COASTS OF ASIA MINOR,36.6,30,50,
32,315,,,,DEAD SEA,DEAD SEA,31.7,35.5,50,
34,342,,,,CYPRUS ISLAND,CYPRUS,,,50,
35,344,,,,TURKEY,MARMARA SEA, DARDANELLES,40.3,26.5,50
3474,346,,,6.8,ALBANIA,ADRIATIC SEA,41.4,19.4,50,
36,348,,,4.1,TURKEY,LEVANTIAN SEA,33.9,35.5,50,
2314,358,24,,,TURKEY,MARMARA SEA,40.77,29.9,50,
37,362,24,,,JORDAN,DEAD SEA,31.3,35.6,50,
38,365,21,70,8,GREECE,CRETE,35,23,50,
3475,368,,,6.4,TURKEY,MARMARA SEA,40.5,29.6,50,
4273,382,,,,PORTUGAL,CABO SAN VICENTE,36,-10.83,73,
2315,407,1,,6.6,TURKEY,MARMARA SEA,41,29,50,
39,416,,,,INDONESIA,JAVA-S. JAVA,-6.102,105.423,60,
40,426,,,,GREECE,GULF OF EUBOEA,,,50,
41,447,26,,7.3,TURKEY,MARMARA SEA,40.9,28.5,50,
4294,450,26,,7,TURKEY,MARMARA SEA,40.4,28.4,50,
2317,478,25,,,TURKEY,MARMARA SEA,40.8,29.2,50,
43,543,,,6.8,TURKEY,BLACK SEA,40.3,27.8,50,
46,551,,,7.1,GREECE,ETOLIA,38.4,22.3,50,
5586,551,7,,,GREECE,,38.4,22.3,50,
47,551,9,,7.8,TURKEY,LEVANTIAN SEA,40.8,29.9,50,
3477,552,,,7.2,GREECE,MALIAKOS GULF,38.4,22.4,50,
48,554,15,,7,GREECE,ISLAND OF KOS,36.5,27.5,50,
3785,555,15,,,GREECE,THRACE,41,29.5,50,
2286,557,,,7,TURKEY,MARMARA SEA,40.9,27.6,50,
49,558,14,,7,TURKEY,MARMARA SEA, STRAIT OF BOSPORUS,40.9,28.8,50
3765,558,,,7,GREECE,DODECANESE ISLANDS,37.1,27.7,50,
53,684,29,,8.4,JAPAN,NANKAIDO,32.5,134,85,3
54,701,12,,7,JAPAN,SEA OF JAPAN,35.7,135.4,85,
55,704,2,,7,JAPAN,KUMANONADA,33.8,136.7,85,
56,740,26,,7.3,TURKEY,MARMARA SEA,40.7,29.3,50,
57,744,30,,6.4,JAPAN,SW. KYUSHU ISLAND,32.4,130.5,85,
58,745,9,,6.5,JAPAN,OSAKA BAY, JAPAN,34.6,135.3,85
59,746,18,,4.9,SYRIA,SYRIAN and EGYPTIAN COASTS,32,35.5,50,
5457,765,,,,JAPAN,KYUSHU ISLAND,,,85,
61,766,20,,6.5,JAPAN,N. KAGOSHIMA BAY,31.6,130.7,85,
62,792,30,,,ITALY,GULF OF VENICE,45.5,11,50,
63,799,18,,,JAPAN,KASHIMA, JAPAN,,,85
3428,800,,,,GREECE,IONIAN SEA,36.2,23.2,50,
64,803,19,,,TURKEY,GULF OF ISKENDERUN,36.95,35.6,50,
66,818,,,7.9,JAPAN,TOKAIDO,35.2,139.3,85,
67,842,24,,,UK,CHANNEL ISLANDS, ENGLAND,49.5,-2.5,73
69,850,27,,7,JAPAN,NW. HONSHU ISLAND,39,139.9,85,
70,855,,,,JAPAN,NANKAIDO,,,85,2
71,859,,,,TURKEY,SAMANDAGI,36.08,36.25,50,
72,863,10,,7,JAPAN,NW. HONSHU ISLAND,37.1,138,85,
74,869,13,,8.6,JAPAN,SANRIKU,38.5,143.8,85,
75,881,8,,,ISRAEL,ISRAEL AND EGYPTIAN COASTS,,,50,
4282,881,10,,,SPAIN,CADIZ,36,-8,73,
76,887,2,,6.5,JAPAN,NIIGATA,37.5,138.1,85,
77,887,26,,8.6,JAPAN,NANKAIDO,33,135.3,85,
5283,900,,,,INDIA,NAGAPATTINAM,10.46,79.53,60,
79,922,,,7,JAPAN,KUMANONADA,33.8,136.7,85,2
80,957,4,,,IRAN,PERSIAN GULF OR CASPIAN SEA,,,40,
3429,963,22,,,ITALY,SICILY,38,15,50,
81,975,26,,,TURKEY,MARMARA SEA, STRAIT OF BOSPORUS,41.04,28.98,50
3430,986,26,,7.5,TURKEY,MARMARA SEA,40.8,29.2,50,
82,991,5,,,SYRIA,SYRIAN COASTS,,,50,
3562,1008,11,,6.5,IRAN,PERSIAN GULF,27.665,52.348,30,
83,1026,16,,7.5,JAPAN,OFF MASUDA, SHIMANE PREFECTURE,34.8,131.8,85
84,1033,5,,,SYRIA,AKKO,33,35,50,
87,1039,2,,6.8,TURKEY,CONSTANTINOPLE,38.4,27.3,50,
3102,1050,,,,GREECE,ISLAND OF THIRA,36.404,25.396,50,
3103,1065,23,,,TURKEY,MARMARA SEA,,,50,
90,1068,18,,,ISRAEL,GULF OF AQABA,29.5,34.95,30,
91,1076,31,,,CHINA,GUANGDONG PROVINCE, SOUTH CHINA SEA,23,117,84
5500,1088,13,,,JAPAN,MIYAKO, IWATE PREFECTURE,39.64,141.96,85
93,1088,10,,7,JAPAN,MIYAKO, IWATE PREFECTURE,40.5,143,85
95,1092,13,,,JAPAN,TERADOMARI, NIIGARA PREFECTURE,,,85
96,1096,17,,8.4,JAPAN,ENSHUNADA,34,137.5,85,7
2992,1099,22,,8.4,JAPAN,NANKAIDO,33,135.5,85,
97,1099,11,,,UK,WEST CORNWALL, ENGLAND,50.116,-5.483,73
98,1106,,,,ITALY,MALAMOCCO,45.5,12.3,50,
4201,1112,20,,,ITALY,CAMPANIA,40.85,14.25,50,
3106,1114,12,,7,ITALY,CALABRIAN ARC,36.5,36,50,
99,1134,1,,,NORTH SEA,SOUTHERN NORTH SEA,,,73,
2852,1169,4,,7,ITALY,EASTERN SICILY,37.3,15.03,50,
3107,1169,11,,,ITALY,CALABRIAN ARC,37.734,15.004,50,
3108,1172,,,,ITALY,ISLAND OF SICILY,38,15,50,
